Restaurant,Category,PhoneNumber,Address,ZipCode
Bojangles,Fast Food,,,27828
Da Won,Dine-in,,,27828
Little Rocket,Carryout,252-753-3722,4200 S Main St,27828
Fuji Japan,Carryout,,,27834
Applebees,Dine-in,972-315-6002,543 FM3040,75067
BJ's,Dine-in,,,75067
Buffalo Wild Wings,Dine-in,,,75067
Cane's Chicken,Fast Food,,,75067
Chili's,Dine-in,,,75067
Chipotle,Dine-in,,,75067
Freebirds,Dine-in,,,75067
Joe's Crab Shack,Dine-in,,,75067
KFC,Fast Food,,,75067
Korner Café,Dine-in,972-420-8400,921 W Main St,75067
Kyotos,Dine-in,,,75067
McDonald's,Fast Food,,,75067
Potbelly,Dine-in,,,75067
Razzoo's,Dine-in,,,75067
Saltgrass,Dine-in,,,75067
Taco Bell,Fast Food,,,75067
Taco Bueno,Fast Food,,,75067
Taco Casa,Fast Food,,,75067
Twin Peaks,Dine-in,,,75067
Wendy's,Fast Food,972-315-8377,517 E Round Grove Road,75067
Wingstop,Dine-in/ Carryout,972-966-0199,2230 Justin Rd #290,75077
Casa Cha Cha,Dine-in,972-238-3546,3613 shire Blvd ste 180,75082
Chic Fil a,Fast Food,,,75082
Jimmy Johns,Dine-in,,,75082
Liberty Burger,Quick Bite,972-907-3707,3617 shire Blvd,75082
Silver Fox,Dine-in,972-423-8121,3650 Shire Blvd,75082
Smashburger,Dine-in,,,75082
Super Chix,Dine-in,,,75082
Taco Diner,Dine-in,,,75082
The Egg and I,Dine-in,469-372-0750,15203 Knoll Trail Dr,75248
Giuseppe's Italian Restaurant,Dine-in,940-381-2712,821 N Locust St,76201
Fuzzy's Taco Shop,Dine-in,940-380-8226,115 Industrial St,76201
Golden Chick,Fast Food,972-436-2400,179 N Valley Pkwy,75067
Popeye's,Fast Food,972-423-8808,1917 W 15th St,75075
Jersey Mike's,Dine-in/ Carryout,972-509-1881,1881 N Central Expy,75075
Pollo Campero,Fast Food,000-000-0000,1380 W Belt Line Rd,75080
Shomars,Dine-in,000-000-0000,North Tryon St.,28213
